company,date,info,link
川崎重工,2025-10-17 11:00:00,川崎重工業、サウジアラビア王国・アラブ首長国連邦／天然ガス及び水素焚きガスエンジン導入可能性調査事業、及び　マレーシア／産業排出源へのCO₂回収技術の適用によるNDCや輸出競争力へ貢献する事業可能性調査事業が、経済産業省の令和６年度補正グローバルサウス未来志向型共創等事業費補助金（小規模実証・ＦＳ事業）に採択,https://www.khi.co.jp/pressrelease/detail/20251017_1.html
パナソニック,2025-10-16 13:10:00,パナソニック インダストリー「IIFES 2025」に出展 ～新スローガン「Machine Evolution Partner」のもと、多様なFAソリューションを展開～,https://news.panasonic.com/jp/topics/206446
パナソニック,2025-10-16 11:10:01,「きれいな空気・水と生きもの」をテーマにした「第20回環境絵画コンクール」の入賞作品が決定,https://news.panasonic.com/jp/topics/206444
パナソニック,2025-10-16 09:00:00,Panasonic in Numbers：世界食料デー～未来につなぐ給食支援～,https://news.panasonic.com/jp/stories/17942
川崎重工,2025-10-15 14:00:00,Japan Mobility Show 2025に出展（カワサキモータース）,https://www.khi.co.jp/pressrelease/detail/20251015_2.html
パナソニック,2025-10-15 14:00:00,現場映像活用サービス「Cameleo」がアクシスコミュニケーションズ社製ネットワークカメラに対応,https://news.panasonic.com/jp/press/jn251015-1
川崎重工,2025-10-15 13:00:00,2025年度Kawasakiエコロジカル・フロンティアズを選定,https://www.khi.co.jp/news/detail/20251015_b1.html
パナソニック,2025-10-15 13:00:00,届ける責任が改革を動かす――事業競争力強化へ  物流の最前線、「京田辺拠点」の挑戦,https://news.panasonic.com/jp/stories/17959
川崎重工,2025-10-14 16:00:00,大阪・関西万博「未来の都市パビリオン」ご来場の御礼,https://www.khi.co.jp/news/detail/20251014_2.html
パナソニック,2025-10-14 15:10:01,パナソニック スポーツが、上質な飲食とスポーツ観戦を楽しむ新コミュニティスペース「BLUE FANS」の実証実験をTime Out Market Osakaで実施,https://news.panasonic.com/jp/topics/206438
パナソニック,2025-10-14 15:00:00,冷凍機内蔵形の冷蔵オープンショーケース「SFシリーズ」全17機種発売,https://news.panasonic.com/jp/press/jn251014-2
パナソニック,2025-10-14 14:10:01,空質空調社が「関東経産局×中部経産局×近畿経産局 J-クレジットオムニバスセミナー」に登壇,https://news.panasonic.com/jp/topics/206437
川崎重工,2025-10-14 14:00:00,潜水艦「そうげい」進水,https://www.khi.co.jp/pressrelease/detail/20251014_1.html
